case,walk_bias,seed,gr_usage_pct,gr_overflow,drv_iter0,drv_iter3,wl_um,vias
D1_wb05_s100,0.5,100,1.17,0,1779,18,4311,2624
D1_wb05_s110,0.5,110,1.16,0,2037,89,4320,2587
D1_wb05_s120,0.5,120,1.11,0,1775,40,4146,2490
D2_wb06_s100,0.6,100,1.17,0,1861,109,4309,2561
D2_wb06_s110,0.6,110,1.16,0,1791,85,4339,2658
D2_wb06_s120,0.6,120,1.21,0,1868,40,4460,2720
D3_wb07_s100,0.7,100,1.20,0,1800,87,4468,2632
D3_wb07_s110,0.7,110,1.23,0,1941,44,4564,2700
D3_wb07_s120,0.7,120,1.21,0,2006,20,4463,2715
D4_wb075_s100,0.75,100,1.22,0,1742,28,4524,2649
D4_wb075_s110,0.75,110,1.20,0,1807,25,4481,2735
D4_wb075_s120,0.75,120,1.20,0,1878,84,4479,2698
